variant_name,onRoadPrice,Power Steering,Power Windows-Front,Power Windows-Rear,Air Conditioner,Heater,Adjustable Steering,Low Fuel Warning Light,Accessory Power Outlet,Rear Seat Headrest,Rear Seat Centre Arm Rest,Parking Sensors,Engine Start/Stop Button,USB Charger,Gear Shift Indicator,Drive Modes,Leather Steering Wheel,Digital Clock,Digital Odometer,Dual Tone Dashboard,Power Adjustable Exterior Rear View Mirror,Wheel Covers,Alloy Wheels,Projector Headlamps,Halogen Headlamps,Tyre Size,Tyre Type,Wheel Size,LED DRLs,LED Taillights,Anti-Lock Braking System,Child Safety Locks,No. of Airbags,Driver Airbag,Passenger Airbag,Side Airbag-Front,Side Airbag-Rear,Rear Camera,ISOFIX Child Seat Mounts,Global NCAP Safety Rating,Global NCAP Child Safety Rating,Radio,Speakers Front,Speakers Rear,Integrated 2DIN Audio,Bluetooth Connectivity,Touch Screen,Android Auto,Subwoofer,Engine Type,Displacement (cc),Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Transmission Type,Gear Box,Drive Type,Fuel Type,Petrol Mileage (ARAI),Petrol Fuel Tank Capacity (Litres),Top Speed (Kmph),Front Suspension,Rear Suspension,Steering Type,Front Brake Type,Rear Brake Type,Length (mm),Width (mm),Height (mm),Boot Space (Litres),Seating Capacity,Wheel Base (mm),No. of Doors,ARAI Mileage,Engine Displacement (cc),Max Power (bhp@rpm),Max Torque (nm@rpm),Fuel Tank Capacity (Litres),Body Type,Service Cost (Avg. of 5 years),Multi-function Steering Wheel,Engine Start Stop Button,No. of Speakers,Braking (100-0kmph),0-100Kmph (Tested),Braking (80-0 kmph),Leather Seats,Touch Screen size,Connectivity,Sun Roof
Tata Punch Pure,658728,Yes,Yes,Not Available,Yes,Yes,Yes,Yes,Yes,Yes,Not Available,Rear,Not Available,Not Available,Not Available,2,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Yes,185/70 R15,"Tubeless,Radial",15,Not Available,Not Available,Yes,Yes,2,Yes,Yes,Not Available,Not Available,Not Available,Yes,5 Star,4 Star,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1.2 l Revotron Engine,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,3,4,Manual,5-Speed,2WD,Petrol,20.09 kmpl,37,150,"Independent, Lower Wishbone, Mcpherson Strut With Coil Spring",Semi-independent Twist Beam With Coil Spring And Shock Absorber,Electric,Disc,Drum,3827,1742,1615,366,5,2445,5,20.09 kmpl,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,37,SUV,"<span>Rs.</span>4,712",Not Available,Not Available,,,,,,,,
Tata Punch Pure Rhythm,715464,Yes,Yes,Not Available,Yes,Yes,Yes,Yes,Yes,Yes,Not Available,Rear,Not Available,Not Available,Not Available,2,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Yes,185/70 R15,"Tubeless,Radial",15,Not Available,Not Available,Yes,Yes,2,Yes,Yes,Not Available,Not Available,Not Available,Yes,5 Star,4 Star,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,0,1.2 l Revotron Engine,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,3,4,Manual,5-Speed,2WD,Petrol,20.09 kmpl,37,150,"Independent, Lower Wishbone, Mcpherson Strut With Coil Spring",Semi-independent Twist Beam With Coil Spring And Shock Absorber,Electric,Disc,Drum,3827,1742,1615,366,5,2445,5,20.09 kmpl,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,37,SUV,"<span>Rs.</span>4,712",Yes,Not Available,4,,,,,,,
Tata Punch Adventure,776338,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available,Rear,Not Available,Front,Not Available,2,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,Yes,185/70 R15,"Tubeless,Radial",15,Not Available,Not Available,Yes,Yes,2,Yes,Yes,Not Available,Not Available,Not Available,Yes,5 Star,4 Star,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,0,1.2 l Revotron Engine,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,3,4,Manual,5-Speed,2WD,Petrol,20.09 kmpl,37,150,"Independent, Lower Wishbone, Mcpherson Strut With Coil Spring",Semi-independent Twist Beam With Coil Spring And Shock Absorber,Electric,Disc,Drum,3827,1742,1615,366,5,2445,5,20.09 kmpl,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,37,SUV,"<span>Rs.</span>4,712",Yes,Not Available,4,43.21m,16.81s,28.65m,,,,
Tata Punch Camo Adventure,787406,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available,Rear,Not Available,Front,Not Available,2,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,Yes,185/70 R15,"Tubeless,Radial",15,Not Available,Not Available,Yes,Yes,2,Yes,Yes,Not Available,Not Available,Not Available,Yes,5 Star,4 Star,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,0,1.2 l Revotron Engine,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,3,4,Manual,5-Speed,2WD,Petrol,20.09 kmpl,37,150,"Independent, Lower Wishbone, Mcpherson Strut With Coil Spring",Semi-independent Twist Beam With Coil Spring And Shock Absorber,Electric,Disc,Drum,3827,1742,1615,366,5,2445,5,20.09 kmpl,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,37,SUV,"<span>Rs.</span>4,712",Yes,Not Available,4,43.21m,16.81s,28.65m,,,,
Tata Punch Pure CNG,798474,Yes,Yes,Not Available,Yes,Yes,Yes,Yes,Yes,Yes,Not Available,Rear,Not Available,Not Available,,2,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Yes,185/70 R15,"Tubeless,Radial",15,Not Available,Not Available,Yes,Yes,2,Yes,Yes,Not Available,Not Available,Not Available,Yes,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1.2 l Revotron,1199,72.41bhp@6000rpm,103Nm@3250rpm,3,4,Manual,5-Speed,2WD,CNG,,,150,"Independent, Lower Wishbone, Mcpherson Strut With Coil Spring",Semi-independent Twist Beam With Coil Spring And Shock Absorber,Electric,Disc,Drum,3827,1742,1615,210,5,2445,5,26.99 km/kg,1199,72.41bhp@6000rpm,103Nm@3250rpm,60,SUV,,Not Available,Not Available,0,,,,Not Available,,,
Tata Punch Adventure Rhythm,815076,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available,Rear,Not Available,Front,Not Available,2,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,Yes,185/70 R15,"Tubeless,Radial",15,Not Available,Not Available,Yes,Yes,2,Yes,Yes,Not Available,Not Available,,Yes,5 Star,4 Star,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,1.2 l Revotron Engine,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,3,4,Manual,5-Speed,2WD,Petrol,20.09 kmpl,37,150,"Independent, Lower Wishbone, Mcpherson Strut With Coil Spring",Semi-independent Twist Beam With Coil Spring And Shock Absorber,Electric,Disc,Drum,3827,1742,1615,366,5,2445,5,20.09 kmpl,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,37,SUV,"<span>Rs.</span>4,712",Yes,Not Available,4,43.21m,16.81s,28.65m,,7,"Android Auto,Apple CarPlay",
Tata Punch Camo Adventure Rhythm,826144,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available,Rear,Not Available,Front,Not Available,2,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,Yes,185/70 R15,"Tubeless,Radial",15,Not Available,Not Available,Yes,Yes,2,Yes,Yes,Not Available,Not Available,,Yes,5 Star,4 Star,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,1.2 l Revotron Engine,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,3,4,Manual,5-Speed,2WD,Petrol,20.09 kmpl,37,150,"Independent, Lower Wishbone, Mcpherson Strut With Coil Spring",Semi-independent Twist Beam With Coil Spring And Shock Absorber,Electric,Disc,Drum,3827,1742,1615,366,5,2445,5,20.09 kmpl,1199,86.63bhp@6000rpm,115Nm@3250+/-100rpm,37,SUV,"<span>Rs.</span>4,712",Yes,Not Available,4,43.21m,16.81s,28.65m,,7,"Android Auto,Apple CarPlay",
Tata Altroz XE,743134,Yes,Yes,Not Available,,Yes,Yes,,Yes,Not Available,Not Available,Rear,Not Available,Not Available,,2,Not Available,,Yes,Yes,Not Available,Yes,Not Available,Not Available,Yes,165/80 R14,"Tubeless,Radial",14,Not Available,,Yes,Yes,2,Yes,Yes,Not Available,Not Available,Not Available,Yes,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,1.2 l Revotron,1199,86.83bhp@6000rpm,113Nm@3300rpm,3,4,Manual,5-Speed,2WD,Petrol,19.33 kmpl,37,165,Independent MacPherson Dual Path Strut with Coil Spring,Twist Beam with Coil Spring and Shock Absorber,Electric,Disc,Drum,3990,1755,1523,345,5,2501,5,19.33 kmpl,1199,86.83bhp@6000rpm,113Nm@3300rpm,37,Hatchback,,Not Available,Not Available,,,,,,,,
Tata Altroz XM,776338,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Not Available,Rear,Not Available,Front,Yes,2,Not Available,,Yes,Yes,Yes,Yes,Not Available,Not Available,Yes,165/80 R14,"Tubeless,Radial",R14,Not Available,Not Available,Yes,Yes,2,Yes,Yes,Not Available,Not Available,Not Available,Yes,,,Yes,Yes,Not Available,Yes,Yes,Not Available,Yes,,1.2 L Revotron,1199,84.88bhp@6000rpm,113Nm@3300rpm,3,4,Manual,5-Speed,2WD,Petrol,19.05 kmpl,37,165,Independent MacPherson dual path strut with coil spring,Twist beam with coil spring and shock absorber,Electric,Disc,Drum,3990,1755,1523,345,5,2501,5,19.05 kmpl,1199,84.88bhp@6000rpm,113Nm@3300rpm,37,Hatchback,,Not Available,Not Available,4,,,,,,,Not Available
Tata Altroz XM S,826144,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Not Available,Rear,Not Available,Front,Yes,2,Not Available,,Yes,Yes,Yes,Yes,Not Available,Not Available,Yes,165/80 R14,"Tubeless,Radial",R14,Not Available,Not Available,Yes,Yes,2,Yes,Yes,Not Available,Not Available,Not Available,Yes,,,Yes,Yes,Not Available,Yes,Yes,Not Available,Not Available,,1.2 L Revotron,1199,84.88bhp@6000rpm,113Nm@3300rpm,3,4,Manual,5-Speed,2WD,Petrol,19.05 kmpl,37,165,Independent MacPherson dual path strut with coil spring,Twist beam with coil spring and shock absorber,Electric,Disc,Drum,3990,1755,1523,345,5,2501,5,19.05 kmpl,1199,84.88bhp@6000rpm,113Nm@3300rpm,37,Hatchback,,Not Available,Not Available,4,,,,,,,Single Pane
Tata Tiago XE,615656,Yes,Not Available,Not Available,Yes,Yes,Yes,,Yes,,,Rear,,-1,Yes,,,Yes,Yes,Yes,Not Available,Yes,Not Available,Not Available,Yes,175/65 R14,"Tubeless, Radial",14,Not Available,,Yes,,2,Yes,Yes,Not Available,Not Available,Not Available,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1.2 L Revotron,1199,84.82bhp@6000rpm,113Nm@3300rpm,3,4,Manual,5-Speed,2WD,Petrol,19.01 kmpl,35,150,Independent Lower Wishbone McPherson Dual Path Strut,Twist Beam with Coil Spring,Electric,Disc,Drum,3765,1677,1535,242,5,2400,5,19.01 kmpl,1199,84.82bhp@6000rpm,113Nm@3300rpm,35,Hatchback,"<span>Rs.</span>4,712",Not Available,,,,,,,,,
Tata Tiago XT Option,658728,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Rear,,-1,Yes,,,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,Yes,175/65 R14,"Tubeless, Radial",14,Not Available,,Yes,,2,Yes,Yes,Not Available,Not Available,Not Available,,,,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,0,1.2 L Revotron,1199,84.82bhp@6000rpm,113Nm@3300rpm,3,4,Manual,5-Speed,2WD,Petrol,19.01 kmpl,35,150,Independent Lower Wishbone McPherson Dual Path Strut,Twist Beam with Coil Spring,Electric,Disc,Drum,3765,1677,1535,242,5,2400,5,19.01 kmpl,1199,84.82bhp@6000rpm,113Nm@3300rpm,35,Hatchback,"<span>Rs.</span>4,712",Yes,,4,,,,,,,
Tata Tiago XT,720998,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Rear,,-1,Yes,,,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,Yes,175/65 R14,"Tubeless, Radial",14,Not Available,,Yes,,2,Yes,Yes,Not Available,Not Available,Not Available,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1.2 L Revotron,1199,84.82bhp@6000rpm,113Nm@3300rpm,3,4,Manual,5-Speed,2WD,Petrol,19.01 kmpl,35,150,Independent Lower Wishbone McPherson Dual Path Strut,Twist Beam with Coil Spring,Electric,Disc,Drum,3765,1677,1535,242,5,2400,5,19.01 kmpl,1199,84.82bhp@6000rpm,113Nm@3300rpm,35,Hatchback,"<span>Rs.</span>4,712",Yes,,4,,,,,3.5 Inch,"Android Auto,Apple CarPlay",
Tata Tiago XE CNG,737600,Yes,Not Available,Not Available,Yes,Yes,Yes,,Yes,,,Rear,,-1,Yes,,,Yes,Yes,Yes,Not Available,Yes,Not Available,Not Available,Yes,175/65 R14,"Tubeless, Radial",14,Not Available,,Yes,,2,Yes,Yes,Not Available,Not Available,Not Available,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1.2 L i-CNG,1199,72bhp@6000rpm,95Nm@3500rpm,3,4,Manual,5-Speed,2WD,CNG,,,150,Independent Lower Wishbone McPherson Strut with Coil Spring,Semi-Independent Closed Profile Twist Beam with Dual Path Strut,Electric,Disc,Drum,3765,1677,1535,205,5,2400,5,26.49 km/kg,1199,72bhp@6000rpm,95Nm@3500rpm,60,Hatchback,,Not Available,,,,,,,,,
Tata Tiago XT Rhythm,754202,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Rear,,-1,Yes,,,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,Yes,175/65 R14,"Tubeless, Radial",14,Not Available,,Yes,,2,Yes,Yes,Not Available,Not Available,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,1.2 L Revotron,1199,84.82bhp@6000rpm,113Nm@3300rpm,3,4,Manual,5-Speed,2WD,Petrol,19.01 kmpl,35,150,Independent Lower Wishbone McPherson Dual Path Strut,Twist Beam with Coil Spring,Electric,Disc,Drum,3765,1677,1535,242,5,2400,5,19.01 kmpl,1199,84.82bhp@6000rpm,113Nm@3300rpm,35,Hatchback,"<span>Rs.</span>4,712",Yes,,4,,,,,7,"Android Auto,Apple CarPlay,",
Tata Tiago XM CNG,776338,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Rear,,-1,Yes,,,Yes,Yes,Yes,Not Available,Yes,Not Available,Not Available,Yes,175/65 R14,"Tubeless, Radial",14,Not Available,,Yes,,2,Yes,Yes,Not Available,Not Available,Not Available,,,,Yes,Yes,Not Available,Yes,Yes,Not Available,Not Available,0,1.2 L i-CNG,1199,72bhp@6000rpm,95Nm@3500rpm,3,4,Manual,5-Speed,2WD,CNG,,,150,Independent Lower Wishbone McPherson Strut with Coil Spring,Semi-Independent Closed Profile Twist Beam with Dual Path Strut,Electric,Disc,Drum,3765,1677,1535,205,5,2400,5,26.49 km/kg,1199,72bhp@6000rpm,95Nm@3500rpm,60,Hatchback,,Not Available,,2,,,,,3.5,"Android Auto,Apple CarPlay,",
Tata Tiago XTA AMT,781872,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Rear,,,Not Available,,,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,Yes,175/65 R14,"Tubeless, Radial",14,Not Available,,Yes,,2,Yes,Yes,Not Available,Not Available,Not Available,,,,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,0,1.2 L Revotron,1199,84.82bhp@6000rpm,113Nm@3300rpm,3,4,Automatic,5-Speed AMT,2WD,Petrol,19 kmpl,35,150,Independent Lower Wishbone McPherson Dual Path Strut,Twist Beam with Coil Spring,Electric,Disc,Drum,3765,1677,1535,242,5,2400,5,19 kmpl,1199,84.82bhp@6000rpm,113Nm@3300rpm,35,Hatchback,"<span>Rs.</span>4,712",Yes,,4,,,,,3.5,,
Tata Tiago XZ Plus,804008,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Rear,,-1,Yes,,,Yes,Yes,Yes,Yes,Not Available,Yes,Yes,Yes,175/60 R15,"Tubeless, Radial",,Yes,,Yes,,2,Yes,Yes,Not Available,Not Available,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1.2 L Revotron,1199,84.82bhp@6000rpm,113Nm@3300rpm,3,4,Manual,5-Speed,2WD,Petrol,19.01 kmpl,35,150,Independent Lower Wishbone McPherson Dual Path Strut,Twist Beam with Coil Spring,Electric,Disc,Drum,3765,1677,1535,242,5,2400,5,19.01 kmpl,1199,84.82bhp@6000rpm,113Nm@3300rpm,35,Hatchback,"<span>Rs.</span>4,712",Yes,,4,,,,,7 Inch,"Android Auto,Apple CarPlay",
Tata Tiago XZ Plus Dual Tone Roof,815076,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Rear,,-1,Yes,,,Yes,Yes,Yes,Yes,Not Available,Yes,Yes,Yes,175/60 R15,"Tubeless, Radial",,Yes,,Yes,,2,Yes,Yes,Not Available,Not Available,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1.2 L Revotron,1199,84.82bhp@6000rpm,113Nm@3300rpm,3,4,Manual,5-Speed,2WD,Petrol,19.01 kmpl,35,150,Independent Lower Wishbone McPherson Dual Path Strut,Twist Beam with Coil Spring,Electric,Disc,Drum,3765,1677,1535,242,5,2400,5,19.01 kmpl,1199,84.82bhp@6000rpm,113Nm@3300rpm,35,Hatchback,"<span>Rs.</span>4,712",Yes,,4,,,,,7 Inch,"Android Auto,Apple CarPlay",
Tata Tiago XT CNG,826144,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Rear,,-1,Yes,,,Yes,Yes,Yes,Yes,Yes,Not Available,Not Available,Yes,175/65 R14,"Tubeless, Radial",14,Not Available,,Yes,,2,Yes,Yes,Not Available,Not Available,Not Available,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1.2 L i-CNG,1199,72bhp@6000rpm,95Nm@3500rpm,3,4,Manual,5-Speed,2WD,CNG,,,150,Independent Lower Wishbone McPherson Strut with Coil Spring,Semi-Independent Closed Profile Twist Beam with Dual Path Strut,Electric,Disc,Drum,3765,1677,1535,205,5,2400,5,26.49 km/kg,1199,72bhp@6000rpm,95Nm@3500rpm,60,Hatchback,,Yes,,4,,,,,3.5 Inch,"Android Auto,Apple CarPlay",
